,first_file,second_file,similiar,P_value
3160,www.camerafarm.com.au_www.pcconnection.com.csv,www.ilgs.net_www.mypriceindia.com.csv,1,0.1188118811881188
3242,www.garricks.com.au_www.henrys.com.csv,www.garricks.com.au_www.wexphotographic.com.csv,1,0.3069306930693069
3582,www.canon-europe.com_www.shopbot.com.au.csv,www.garricks.com.au_www.canon-europe.com.csv,1,0.12871287128712872
3586,www.canon-europe.com_www.shopbot.com.au.csv,www.camerafarm.com.au_www.canon-europe.com.csv,1,0.15841584158415842
4061,www.priceme.co.nz_www.pcconnection.com.csv,buy.net_www.ebay.com.csv,1,0.16831683168316833
4103,www.priceme.co.nz_www.pcconnection.com.csv,www.shopbot.com.au_www.pcconnection.com.csv,1,0.6435643564356436
4119,www.priceme.co.nz_www.pcconnection.com.csv,www.ebay.com_www.pcconnection.com.csv,1,0.1188118811881188
4120,www.priceme.co.nz_www.pcconnection.com.csv,www.garricks.com.au_www.gosale.com.csv,1,0.07920792079207921
4586,www.wexphotographic.com_www.priceme.co.nz.csv,www.wexphotographic.com_www.shopbot.com.au.csv,1,0.9504950495049505
4632,www.wexphotographic.com_www.priceme.co.nz.csv,www.shopbot.com.au_www.henrys.com.csv,1,0.0891089108910891
4634,www.wexphotographic.com_www.priceme.co.nz.csv,www.henrys.com_www.priceme.co.nz.csv,1,0.0594059405940594
4788,www.shopbot.com.au_cammarkt.com.csv,www.camerafarm.com.au_www.henrys.com.csv,1,0.0891089108910891
4803,www.shopbot.com.au_cammarkt.com.csv,www.camerafarm.com.au_www.mypriceindia.com.csv,1,0.07920792079207921
4829,www.shopbot.com.au_cammarkt.com.csv,buy.net_www.camerafarm.com.au.csv,1,0.13861386138613863
4830,www.shopbot.com.au_cammarkt.com.csv,www.camerafarm.com.au_www.price-hunt.com.csv,1,0.07920792079207921
4843,www.shopbot.com.au_cammarkt.com.csv,www.camerafarm.com.au_www.eglobalcentral.co.uk.csv,1,0.13861386138613863
4888,www.shopbot.com.au_cammarkt.com.csv,www.garricks.com.au_www.priceme.co.nz.csv,1,0.1782178217821782
4897,www.shopbot.com.au_cammarkt.com.csv,www.garricks.com.au_www.shopbot.com.au.csv,1,0.40594059405940597
4909,www.shopbot.com.au_cammarkt.com.csv,www.camerafarm.com.au_www.shopbot.com.au.csv,1,0.0594059405940594
4918,www.shopbot.com.au_cammarkt.com.csv,www.priceme.co.nz_cammarkt.com.csv,1,0.25742574257425743
4929,www.shopbot.com.au_cammarkt.com.csv,www.camerafarm.com.au_www.priceme.co.nz.csv,1,0.2376237623762376
5229,www.shopbot.com.au_www.mypriceindia.com.csv,www.mypriceindia.com_www.priceme.co.nz.csv,1,0.42574257425742573
5268,www.shopbot.com.au_www.mypriceindia.com.csv,www.camerafarm.com.au_www.garricks.com.au.csv,1,0.09900990099009901
5270,www.shopbot.com.au_www.mypriceindia.com.csv,www.shopbot.com.au_www.priceme.co.nz.csv,1,0.09900990099009901
5339,www.shopbot.com.au_www.mypriceindia.com.csv,www.camerafarm.com.au_www.ilgs.net.csv,1,0.06930693069306931
5517,www.gosale.com_www.pcconnection.com.csv,www.shopbot.com.au_www.price-hunt.com.csv,1,0.4158415841584158
5541,www.gosale.com_www.pcconnection.com.csv,www.wexphotographic.com_www.priceme.co.nz.csv,1,0.0594059405940594
5582,www.gosale.com_www.pcconnection.com.csv,www.price-hunt.com_www.priceme.co.nz.csv,1,0.33663366336633666
5601,www.gosale.com_www.pcconnection.com.csv,www.wexphotographic.com_www.shopbot.com.au.csv,1,0.06930693069306931
6242,www.gosale.com_www.mypriceindia.com.csv,www.shopbot.com.au_www.price-hunt.com.csv,1,0.0594059405940594
6381,www.shopbot.com.au_www.pcconnection.com.csv,buy.net_www.ebay.com.csv,1,0.24752475247524752
6408,www.shopbot.com.au_www.pcconnection.com.csv,www.priceme.co.nz_www.pcconnection.com.csv,1,0.7722772277227723
6434,www.shopbot.com.au_www.pcconnection.com.csv,www.ebay.com_www.shopbot.com.au.csv,1,0.0594059405940594
6439,www.shopbot.com.au_www.pcconnection.com.csv,www.ebay.com_www.pcconnection.com.csv,1,0.06930693069306931
6440,www.shopbot.com.au_www.pcconnection.com.csv,www.garricks.com.au_www.gosale.com.csv,1,0.16831683168316833
